id,name,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
555,OpenOcean,0.48339559300204754,2689542.39220659,6.928,0.64989077,1.81071425,-9.56749373,-31.8722443,-16.64253811,-35.18139826,72458764.65318048,0.0028,483395593,2021-11-24T05:02:08.000Z
556,Frontier,1.0440631257590478,22360145.62353095,-82.8591,-0.30310387,-7.74419126,8.62481886,-15.21133284,-12.71688627,-15.26647673,72444930.13860592,0.0028,93965681.32,2021-11-24T05:03:34.000Z
557,Unifty,59.34136039789075,1562704.96945804,-35.4759,1.69991746,-3.3944949,0.63055207,149.34759543,181.06157056,150.09703655,72245274.30576931,0.0028,296706801.99,2021-11-24T05:03:30.000Z
558,BENQI,0.2214631057624658,77007435.97675492,-55.8213,-0.02479004,-12.70706032,22.2921672,70.08701183,81.39479469,-10.5085736,72128761.84198901,0.0028,1594534361.49,2021-11-24T05:04:03.000Z
559,Doge Dash,0.0013150995164636417,2730106.76276196,-9.7901,4.72122292,-19.49156457,-49.68800011,327.41145962,3238.19776918,3238.19776918,71077029.05474843,0.0028,131509951.65,2021-11-24T05:04:06.000Z
560,New BitShares,0.02685052649663194,30250384.27894912,475.737,-1.83257159,16.75079637,32.54540616,46.85101007,108.11733006,74.08188979,70017327.46576706,0.0027,96661895.39,2021-11-24T05:03:36.000Z
561,BitMart Token,0.4000651196147359,12953618.46615076,-1.1337,-0.91773792,-0.0286493,7.87894502,9.27538153,28.92467598,110.55061368,69498490.5181371,0.0027,257480557.16,2021-11-24T05:03:35.000Z
562,Steem Dollars,7.067327470718289,3819146.72231359,27.5531,0.2413152,0.34993238,-0.13192734,-5.6736568,10.93161921,-11.46273315,69037693.40066336,0.0027,69037693.4,2021-11-24T05:04:05.000Z
563,GNY,0.3586876682940092,55302.86222264,-23.6547,2.7229038,3.94056116,12.73840424,13.68243171,24.1188265,7.10398831,69003134.53352639,0.0027,143475067.32,2021-11-24T05:03:35.000Z
564,Hegic,0.11069700211129643,2946173.89255754,13.0294,0.25335551,-2.25331651,-4.63700129,-23.74764307,-30.48082442,-28.93036451,68832584.15610483,0.0027,333420464.93,2021-11-24T05:03:32.000Z
